	Row	Gene	Dil.factor	Ct
72	D	ACTB_dil5	5.0	19.7
73		ACTB_dil5	5.0	19.7
74		ACTB_dil5	5.0	19.6
75		ACTB_dil10	10.0	23.5
76		ACTB_dil10	10.0	23.5
77		ACTB_dil10	10.0	23.6
78		ACTB_dil20	20.0	22.7
79		ACTB_dil20	20.0	22.6
80		ACTB_dil20	20.0	22.6
81		ACTB_dil40	40.0	23.6
82		ACTB_dil40	40.0	23.7
83		ACTB_dil40	40.0	23.6
84		ACTB_dil80	80.0	24.6
85		ACTB_dil80	80.0	24.6
86		ACTB_dil80	80.0	24.7
87		ACTB_dil160	160.0	25.7
88		ACTB_dil160	160.0	25.7
89		ACTB_dil160	160.0	25.6
90		ACTB_dil320	320.0	27.6
91		ACTB_dil320	320.0	28.2
92		ACTB_dil320	320.0	27.7
